FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_F1Score,KFold02_F1Score,KFold03_F1Score,KFold04_F1Score,KFold05_F1Score,KFold06_F1Score,KFold07_F1Score,KFold08_F1Score,KFold09_F1Score,KFold10_F1Score,F1Score_Mean,F1Score_SD
DenseNet201,Full,No,94080,RBF,0.7647,0.8889,0.8889,0.8372,0.9189,0.9474,0.8571,0.9143,0.9545,0.9474,0.8919,0.0563
DenseNet201,Full,No,94080,LinearSVM,0.8,0.8571,0.9697,0.9091,0.9714,0.9189,0.8824,0.9143,0.9767,0.973,0.9173,0.0557
DenseNet201,Full,No,94080,MLP,0.8276,0.8276,0.9412,0.8837,0.875,0.8649,0.8824,0.973,0.9767,0.973,0.9025,0.0558
DenseNet201,Full,No,94080,Logistic,0.7742,0.9231,0.9697,0.8636,0.9714,0.9189,0.8824,0.9143,0.9767,0.973,0.9167,0.0608
DenseNet201,Full,No,94080,RandomForest,0.7742,0.8889,0.9412,0.9048,0.8889,0.9143,0.9714,0.9444,0.9524,0.9474,0.9128,0.0533
DenseNet201,Full,No,94080,Adaboost,0.8485,0.8571,0.9143,0.878,0.9143,0.9189,0.8824,0.8889,0.9778,0.9444,0.9025,0.0376
DenseNet201,Full,No,94080,Gaussian,0.7586,0.8889,0.8108,0.7907,0.7742,0.8889,0.8571,0.9444,0.9091,0.9474,0.857,0.066
NASNetMobile,Full,No,51744,PCC,0.7647,0.5714,0.5806,0.7317,0.7222,0.6286,0.6667,0.5806,0.6829,0.8205,0.675,0.0809
NASNetMobile,Full,No,51744,J48,0.6207,0.5333,0.8276,0.5625,0.5625,0.6667,0.6316,0.6471,0.7556,0.7,0.6507,0.0869
NASNetMobile,Full,No,51744,RBF,0.875,0.6667,0.6,0.7273,0.7568,0.6061,0.6316,0.6875,0.7692,0.8205,0.7141,0.0876
NASNetMobile,Full,No,51744,LinearSVM,0.6207,0.6452,0.8485,0.8,0.6061,0.6286,0.6452,0.8205,0.7368,0.8205,0.7172,0.0926
NASNetMobile,Full,No,51744,MLP,0.7586,0.6452,0.8485,0.8,0.6667,0.6667,0.6667,0.6923,0.7857,0.717,0.7247,0.0659
NASNetMobile,Full,No,51744,Logistic,0.6897,0.6452,0.875,0.8,0.6667,0.6286,0.625,0.8205,0.7895,0.85,0.739,0.0924
NASNetMobile,Full,No,51744,RandomForest,0.7742,0.7333,0.75,0.75,0.6875,0.6667,0.6471,0.6667,0.7692,0.85,0.7295,0.0595
NASNetMobile,Full,No,51744,Adaboost,0.6875,0.7097,0.7273,0.7805,0.7273,0.6667,0.6667,0.7222,0.6111,0.8421,0.7141,0.0609
NASNetMobile,Full,No,51744,Gaussian,0.4667,0.6667,0.5,0.6667,0.6452,0.5294,0.4848,0.7027,0.8293,0.6111,0.6103,0.1091
MobileNetV2,Full,No,62720,PCC,0.6667,0.7742,0.8333,0.7826,0.8108,0.7778,0.8205,0.878,0.7442,0.8333,0.7921,0.0553
