Metodo;Fold;ACC
VGG19_ReliefF_300_Gaussian;7;0,8235
VGG19_ReliefF_300_J48;8;0,7647
VGG19_ReliefF_300_RBF;8;0,8824
VGG19_ReliefF_300_LinearSVM;8;0,9412
VGG19_ReliefF_300_MLP;8;0,7941
VGG19_ReliefF_300_Logistic;8;0,9412
VGG19_ReliefF_300_RandomForest;8;0,9118
VGG19_ReliefF_300_Adaboost;8;0,8529
VGG19_ReliefF_300_Gaussian;8;0,8824
VGG19_ReliefF_300_J48;9;0,7941
VGG19_ReliefF_300_RBF;9;0,9412
VGG19_ReliefF_300_LinearSVM;9;0,9706
VGG19_ReliefF_300_MLP;9;0,9706
VGG19_ReliefF_300_Logistic;9;1
VGG19_ReliefF_300_RandomForest;9;0,9706
VGG19_ReliefF_300_Adaboost;9;0,8824
VGG19_ReliefF_300_Gaussian;9;0,8235
VGG19_ReliefF_300_J48;10;0,8529
VGG19_ReliefF_300_RBF;10;0,9118
VGG19_ReliefF_300_LinearSVM;10;0,9706
VGG19_ReliefF_300_MLP;10;0,8824
VGG19_ReliefF_300_Logistic;10;0,9412
VGG19_ReliefF_300_RandomForest;10;0,8824
VGG19_ReliefF_300_Adaboost;10;0,9412
VGG19_ReliefF_300_Gaussian;10;0,8824
ResNet50_ReliefF_300_J48;1;0,7143
ResNet50_ReliefF_300_RBF;1;0,8857
ResNet50_ReliefF_300_LinearSVM;1;0,8571
ResNet50_ReliefF_300_MLP;1;0,8286
ResNet50_ReliefF_300_Logistic;1;0,8857
ResNet50_ReliefF_300_RandomForest;1;0,9143
ResNet50_ReliefF_300_Adaboost;1;0,9143
ResNet50_ReliefF_300_Gaussian;1;0,8571
ResNet50_ReliefF_300_J48;2;0,8
ResNet50_ReliefF_300_RBF;2;0,8571
ResNet50_ReliefF_300_LinearSVM;2;0,9143
ResNet50_ReliefF_300_MLP;2;0,7714
ResNet50_ReliefF_300_Logistic;2;0,9143
ResNet50_ReliefF_300_RandomForest;2;0,9143
ResNet50_ReliefF_300_Adaboost;2;0,8571
ResNet50_ReliefF_300_Gaussian;2;0,8
ResNet50_ReliefF_300_J48;3;0,8529
ResNet50_ReliefF_300_RBF;3;0,8529
ResNet50_ReliefF_300_LinearSVM;3;0,8529
ResNet50_ReliefF_300_MLP;3;0,8824
ResNet50_ReliefF_300_Logistic;3;0,9118
ResNet50_ReliefF_300_RandomForest;3;0,8529
ResNet50_ReliefF_300_Adaboost;3;0,8235
ResNet50_ReliefF_300_Gaussian;3;0,9118
