FeatureExtraction;DimReduction;Normalization;NumberComponents;Classifier;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy;Accuracy_Mean;Accuracy_SD
MobileNet+ResNet101_n_feat;UMAP;No;250;Adaboost;0,8571;0,8571;0,9118;0,7941;0,8529;0,8529;0,8235;0,8824;0,7941;0,7941;0,842;0,038
MobileNet+ResNet101_n_feat;UMAP;No;250;Gaussian;0,8;0,9143;0,7647;0,8529;0,7353;0,7941;0,6765;0,7941;0,7941;0,8235;0,795;0,0608
ResNet101+DenseNet169_n_feat;PCA;No;250;J48;0,8286;0,7714;0,7059;0,6176;0,9412;0,7941;0,6765;0,8529;0,6765;0,7353;0,76;0,0923
ResNet101+DenseNet169_n_feat;PCA;No;250;RBF;0,8571;0,9143;0,9706;0,8529;0,9412;0,9118;0,9412;0,8529;0,8824;0,9412;0,9066;0,0407
ResNet101+DenseNet169_n_feat;PCA;No;250;LinearSVM;0,8286;0,8286;0,9118;0,8824;0,9118;0,9118;0,8824;0,8824;0,9412;0,8529;0,8834;0,0356
ResNet101+DenseNet169_n_feat;PCA;No;250;MLP;0,8286;0,8;0,9118;0,8235;0,9118;0,7647;0,7647;0,6765;0,7941;0,7941;0,807;0,0661
ResNet101+DenseNet169_n_feat;PCA;No;250;Logistic;0,8;0,8286;0,9118;0,9118;0,9118;0,9118;0,9118;0,8824;0,9412;0,8824;0,8893;0,0412
ResNet101+DenseNet169_n_feat;PCA;No;250;RandomForest;0,9143;0,9429;0,9118;0,8235;0,7941;0,9412;0,8235;0,9118;0,8824;0,8824;0,8828;0,0496
ResNet101+DenseNet169_n_feat;PCA;No;250;Adaboost;0,8286;0,9143;0,8824;0,8529;0,8824;0,8824;0,7647;0,8529;0,8824;0,9706;0,8713;0,051
ResNet101+DenseNet169_n_feat;PCA;No;250;Gaussian;0,7143;0,7143;0,6471;0,5882;0,6176;0,7353;0,6765;0,6765;0,7647;0,5882;0,6723;0,0582
ResNet101+DenseNet169_n_feat;UMAP;No;250;J48;0,6857;0,8;0,7941;0,7059;0,8235;0,7647;0,8235;0,7941;0,8824;0,7059;0,778;0,0593
ResNet101+DenseNet169_n_feat;UMAP;No;250;RBF;0,7143;0,5143;0,7647;0,8529;0,6765;0,8235;0,7059;0,7941;0,7941;0,7941;0,7434;0,0926
ResNet101+DenseNet169_n_feat;UMAP;No;250;LinearSVM;0,8;0,8286;0,7941;0,8235;0,7941;0,8235;0,7941;0,8529;0,8235;0,7941;0,8129;0,0194
ResNet101+DenseNet169_n_feat;UMAP;No;250;MLP;0,4286;0,8;0,5882;0,8235;0,8235;0,4706;0,6176;0,7647;0,7647;0,6176;0,6699;0,1386
ResNet101+DenseNet169_n_feat;UMAP;No;250;Logistic;0,8286;0,8571;0,8529;0,8235;0,8824;0,8529;0,7941;0,8824;0,7941;0,7941;0,8362;0,0328
ResNet101+DenseNet169_n_feat;UMAP;No;250;RandomForest;0,8286;0,8857;0,8235;0,8529;0,8529;0,8235;0,8235;0,8824;0,8235;0,9118;0,8508;0,0307
ResNet101+DenseNet169_n_feat;UMAP;No;250;Adaboost;0,8;0,8;0,8529;0,7941;0,8235;0,8529;0,7941;0,9118;0,6765;0,8824;0,8188;0,061
