FeatureExtraction;DimReduction;Normalization;NumberComponents;Classifier;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy;Accuracy_Mean;Accuracy_SD
MobileNetV2;Full;No;62720;LinearSVM;0,9143;0,9429;1;0,8235;0,9706;0,9118;0,9706;0,9706;0,9412;0,9118;0,9357;0,047
MobileNet;PCA;No;50;RBF;0,9429;0,9429;0,9706;0,8529;0,9118;0,9706;0,9118;0,9706;0,9118;0,9706;0,9356;0,0368
MobileNetV2;Full;No;62720;Logistic;0,9143;0,9143;1;0,8529;0,9412;0,9118;0,9706;0,9706;0,9412;0,9118;0,9329;0,0393
ResNet101+MobileNetV2;Full;No;163072;LinearSVM;0,9143;0,9143;0,9706;0,8824;0,9118;0,9118;0,9118;0,9706;0,9706;0,9706;0,9329;0,032
EfficientNetB0+MobileNet;PCA;No;100;RBF;0,8857;0,9429;0,9706;0,9118;0,9412;0,9412;0,9118;0,9412;0,9412;0,9412;0,9329;0,0223
EfficientNetB0+MobileNet;PCA;No;30;RBF;0,9143;0,9143;0,9706;0,8824;0,8824;0,9706;0,8824;0,9706;0,9412;1;0,9329;0,0415
MobileNet;PCA;No;30;RBF;0,9143;0,9429;0,9412;0,8235;0,9118;0,9706;0,9118;0,9706;0,9412;1;0,9328;0,0456
MobileNet+ResNet50;Full;No;150528;Logistic;0,8857;0,9714;0,9118;0,8529;0,9412;0,9412;0,9118;1;0,9412;0,9706;0,9328;0,0414
EfficientNetB0+MobileNet;PCA;No;20;RBF;0,9143;0,9429;0,9412;0,8529;0,9412;1;0,9118;0,9412;0,9118;0,9706;0,9328;0,0372
MobileNet;PCA;No;300;Logistic;0,9143;0,9714;0,9118;0,8824;0,9118;0,9412;0,8824;0,9412;0,9706;1;0,9327;0,0373
EfficientNetB1;PCA;No;300;LinearSVM;0,9429;0,9429;0,9706;0,8529;0,9412;0,9412;0,9412;0,9412;0,9412;0,9118;0,9327;0,0297
MobileNet+ResNet50;PCA;No;75;RBF;0,9429;0,9429;0,9706;0,8235;0,9706;0,9706;0,9118;0,9412;0,9118;0,9412;0,9327;0,0418
