method,cnn,reduction,classifier,features,Components,acc,f1,roc
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F50,82.6050,83.1120,83.8235
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F75,85.2941,86.9748,85.2941
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F100,82.3529,83.3333,82.3223
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F150,79.4118,82.0040,78.6905
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F200,79.4118,81.7664,79.8884
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F250,76.4706,75.0774,76.4599
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F300,73.5294,77.3727,73.9267
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F350,nan,nan,nan
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F400,nan,nan,nan
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F450,nan,nan,nan
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F500,nan,nan,nan
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F550,nan,nan,nan
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F600,nan,nan,nan
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F700,nan,nan,nan
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F800,nan,nan,nan
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F900,nan,nan,nan
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F1000,nan,nan,nan
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F2,62.3109,63.5714,63.0357
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F10,82.3529,82.5814,81.4098
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F20,82.3529,84.5295,82.2291
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F30,78.2773,79.5650,79.2893
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F40,82.8571,82.0884,84.3137
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F50,82.3529,81.6526,82.3529
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F75,79.7059,80.0755,79.4427
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F100,85.5042,86.3800,84.0931
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F150,82.6050,81.1655,83.7112
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F200,79.4118,79.9345,79.4427
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F250,77.9412,77.5986,78.5252
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F300,75.3782,76.8939,76.1413
