method,cnn,reduction,classifier,features,F002,F010,F020,F030,F040,F050,F075,F100,F150,F200,F250,F300,Full,Mean,Sd,MedianQ2,Q1_25%,Q3_75%,Max,Min 
ResNet101+DenseNet169_UMAP_Gaussian,ResNet101+DenseNet169,UMAP,Gaussian,181888.0,73.9076,79.4118,77.9412,78.2773,78.5714,78.2353,78.2773,79.7059,76.8067,77.9412,76.8067,75.7143,65.7647,77.0105,5.3635,77.1429,73.5294,80.0000,88.2353,64.7059
ResNet101+DenseNet169_ReliefF_PCC,ResNet101+DenseNet169,ReliefF,PCC,181888.0,76.4706,79.4118,84.0756,85.2941,85.5042,82.3529,80.8824,85.2941,85.2941,82.3529,82.3529,82.3529,73.7143,82.1751,5.2900,82.3529,79.4118,85.2941,91.1765,68.5714
ResNet101+DenseNet169_ReliefF_J48,ResNet101+DenseNet169,ReliefF,J48,181888.0,76.4706,76.4706,77.9412,78.2773,81.1765,77.9412,80.8824,82.3529,85.2941,79.4118,79.4118,81.1765,74.2941,78.7353,7.1289,79.4118,74.0966,82.3529,94.1176,60.0000
ResNet101+DenseNet169_ReliefF_RBF,ResNet101+DenseNet169,ReliefF,RBF,181888.0,76.4706,82.6050,88.2353,88.2353,86.7647,86.7647,86.7647,88.2353,85.2941,86.7647,85.2941,88.2353,89.1933,85.1779,5.5884,85.2941,81.7647,88.2353,97.0588,71.4286
ResNet101+DenseNet169_ReliefF_LinearSVM,ResNet101+DenseNet169,ReliefF,LinearSVM,181888.0,75.0000,81.1765,86.7647,89.7059,86.7647,89.7059,88.2353,89.7059,85.2941,85.2941,86.7647,88.2353,92.1260,85.2955,6.2201,85.7143,81.7647,91.1765,97.0588,65.7143
ResNet101+DenseNet169_ReliefF_MLP,ResNet101+DenseNet169,ReliefF,MLP,181888.0,79.4118,79.4118,84.0336,82.6050,83.8235,85.5042,82.3529,82.3529,85.2941,82.6050,80.8824,83.8235,88.6134,82.8053,6.0054,82.3529,79.4118,88.2353,97.0588,65.7143
ResNet101+DenseNet169_ReliefF_Logistic,ResNet101+DenseNet169,ReliefF,Logistic,181888.0,75.0000,82.3529,83.8235,89.7059,88.2353,85.2941,85.2941,84.0756,85.2941,85.2941,82.3529,83.8235,92.1260,84.2192,6.3081,85.2941,80.0000,88.2353,97.0588,65.7143
ResNet101+DenseNet169_ReliefF_RandomForest,ResNet101+DenseNet169,ReliefF,RandomForest,181888.0,77.9412,82.3529,88.2353,88.2353,88.2353,91.1765,89.8740,88.2353,89.7059,88.2353,88.2353,91.1765,90.0672,86.7339,5.9638,88.2353,82.8571,91.1765,97.0588,62.8571
ResNet101+DenseNet169_ReliefF_Adaboost,ResNet101+DenseNet169,ReliefF,Adaboost,181888.0,77.9412,82.3529,85.2941,85.2941,83.8235,81.1765,81.1765,85.5042,84.0756,82.6050,82.3529,85.2941,87.7227,82.8326,6.8638,82.8571,79.4118,88.2353,100.0000,62.8571
ResNet101+DenseNet169_ReliefF_Gaussian,ResNet101+DenseNet169,ReliefF,Gaussian,181888.0,75.0000,80.8824,86.7647,85.2941,88.2353,86.7647,86.9748,86.7647,85.2941,84.0756,83.8235,81.1345,65.7647,83.8704,6.1291,85.2941,80.0000,88.2353,97.0588,65.7143
