Metodo;FeatureExtraction;DimReduction;NumberComponents;Classifier;ACC01;ACC02;ACC03;ACC04;ACC05;ACC06;ACC07;ACC08;ACC09;ACC10
MobileNet+ResNet101_n_feat_ReliefF_250_RBF;MobileNet+ResNet101_n_feat;ReliefF;250;RBF;0,8286;0,8857;0,8824;0,8824;0,8529;0,9412;0,9412;0,8824;0,9412;0,9706
MobileNet+ResNet101_n_feat_ReliefF_250_LinearSVM;MobileNet+ResNet101_n_feat;ReliefF;250;LinearSVM;0,8571;0,8857;0,9118;0,8824;0,8235;0,8824;0,9118;0,9412;0,9706;0,8529
MobileNet+ResNet101_n_feat_ReliefF_250_MLP;MobileNet+ResNet101_n_feat;ReliefF;250;MLP;0,8;0,8571;0,8529;0,8529;0,8235;0,9118;0,8824;0,8529;0,9412;0,8824
MobileNet+ResNet101_n_feat_ReliefF_250_Logistic;MobileNet+ResNet101_n_feat;ReliefF;250;Logistic;0,8857;0,8857;0,9118;0,9118;0,8235;0,9118;0,9118;0,9412;0,9706;0,8529
MobileNet+ResNet101_n_feat_ReliefF_250_RandomForest;MobileNet+ResNet101_n_feat;ReliefF;250;RandomForest;0,8571;0,8286;0,8529;0,8824;0,8529;0,9118;0,9412;0,9706;0,9412;0,9118
MobileNet+ResNet101_n_feat_ReliefF_250_Adaboost;MobileNet+ResNet101_n_feat;ReliefF;250;Adaboost;0,8286;0,8857;0,7941;0,9118;0,8235;0,8235;0,9118;0,9412;0,8529;0,8235
MobileNet+ResNet101_n_feat_ReliefF_250_Gaussian;MobileNet+ResNet101_n_feat;ReliefF;250;Gaussian;0,8286;0,8571;0,9118;0,8529;0,8529;0,8235;0,9118;0,8529;0,7647;0,8824
ResNet101+DenseNet169_n_feat_ReliefF_250_J48;ResNet101+DenseNet169_n_feat;ReliefF;250;J48;0,6857;0,6571;0,7941;0,7647;0,7647;0,8235;0,7941;0,8529;0,8529;0,7353
ResNet101+DenseNet169_n_feat_ReliefF_250_RBF;ResNet101+DenseNet169_n_feat;ReliefF;250;RBF;0,7714;0,8;0,8235;0,8235;0,8824;0,9118;0,8824;0,9412;0,9706;0,8529
ResNet101+DenseNet169_n_feat_ReliefF_250_LinearSVM;ResNet101+DenseNet169_n_feat;ReliefF;250;LinearSVM;0,8;0,8286;0,8824;0,8235;0,8235;0,8824;0,9118;0,8824;0,9412;0,8824
ResNet101+DenseNet169_n_feat_ReliefF_250_MLP;ResNet101+DenseNet169_n_feat;ReliefF;250;MLP;0,7143;0,7429;0,8824;0,8824;0,8235;0,8529;0,8824;0,9118;0,8824;0,7941
ResNet101+DenseNet169_n_feat_ReliefF_250_Logistic;ResNet101+DenseNet169_n_feat;ReliefF;250;Logistic;0,7429;0,8286;0,9118;0,8235;0,8235;0,8235;0,8529;0,8529;0,9412;0,8824
ResNet101+DenseNet169_n_feat_ReliefF_250_RandomForest;ResNet101+DenseNet169_n_feat;ReliefF;250;RandomForest;0,8286;0,8;0,8824;0,9118;0,8235;0,9118;0,9118;0,9412;0,9412;0,9118
