metodo;ExtractionMethod;Reduction;Classification;Fold;Features;Normalization;Components;ACC
ResNet101+DenseNet169_n_feat_ReliefF_300_MLP;ResNet101+DenseNet169_n_feat;ReliefF;MLP;3;181888;No;300;0,911765
ResNet101+DenseNet169_n_feat_ReliefF_300_Logistic;ResNet101+DenseNet169_n_feat;ReliefF;Logistic;3;181888;No;300;0,911765
ResNet101+DenseNet169_n_feat_ReliefF_300_RandomForest;ResNet101+DenseNet169_n_feat;ReliefF;RandomForest;3;181888;No;300;0,852941
ResNet101+DenseNet169_n_feat_ReliefF_300_Adaboost;ResNet101+DenseNet169_n_feat;ReliefF;Adaboost;3;181888;No;300;0,823529
ResNet101+DenseNet169_n_feat_ReliefF_300_Gaussian;ResNet101+DenseNet169_n_feat;ReliefF;Gaussian;3;181888;No;300;0,794118
ResNet101+DenseNet169_n_feat_ReliefF_300_J48;ResNet101+DenseNet169_n_feat;ReliefF;J48;4;181888;No;300;0,823529
ResNet101+DenseNet169_n_feat_ReliefF_300_RBF;ResNet101+DenseNet169_n_feat;ReliefF;RBF;4;181888;No;300;0,823529
ResNet101+DenseNet169_n_feat_ReliefF_300_LinearSVM;ResNet101+DenseNet169_n_feat;ReliefF;LinearSVM;4;181888;No;300;0,794118
ResNet101+DenseNet169_n_feat_ReliefF_300_MLP;ResNet101+DenseNet169_n_feat;ReliefF;MLP;4;181888;No;300;0,882353
ResNet101+DenseNet169_n_feat_ReliefF_300_Logistic;ResNet101+DenseNet169_n_feat;ReliefF;Logistic;4;181888;No;300;0,823529
ResNet101+DenseNet169_n_feat_ReliefF_300_RandomForest;ResNet101+DenseNet169_n_feat;ReliefF;RandomForest;4;181888;No;300;0,882353
ResNet101+DenseNet169_n_feat_ReliefF_300_Adaboost;ResNet101+DenseNet169_n_feat;ReliefF;Adaboost;4;181888;No;300;0,823529
ResNet101+DenseNet169_n_feat_ReliefF_300_Gaussian;ResNet101+DenseNet169_n_feat;ReliefF;Gaussian;4;181888;No;300;0,823529
ResNet101+DenseNet169_n_feat_ReliefF_300_J48;ResNet101+DenseNet169_n_feat;ReliefF;J48;5;181888;No;300;0,852941
ResNet101+DenseNet169_n_feat_ReliefF_300_RBF;ResNet101+DenseNet169_n_feat;ReliefF;RBF;5;181888;No;300;0,882353
ResNet101+DenseNet169_n_feat_ReliefF_300_LinearSVM;ResNet101+DenseNet169_n_feat;ReliefF;LinearSVM;5;181888;No;300;0,852941
ResNet101+DenseNet169_n_feat_ReliefF_300_MLP;ResNet101+DenseNet169_n_feat;ReliefF;MLP;5;181888;No;300;0,852941
ResNet101+DenseNet169_n_feat_ReliefF_300_Logistic;ResNet101+DenseNet169_n_feat;ReliefF;Logistic;5;181888;No;300;0,852941
ResNet101+DenseNet169_n_feat_ReliefF_300_RandomForest;ResNet101+DenseNet169_n_feat;ReliefF;RandomForest;5;181888;No;300;0,852941
ResNet101+DenseNet169_n_feat_ReliefF_300_Adaboost;ResNet101+DenseNet169_n_feat;ReliefF;Adaboost;5;181888;No;300;0,735294
ResNet101+DenseNet169_n_feat_ReliefF_300_Gaussian;ResNet101+DenseNet169_n_feat;ReliefF;Gaussian;5;181888;No;300;0,882353
ResNet101+DenseNet169_n_feat_ReliefF_300_J48;ResNet101+DenseNet169_n_feat;ReliefF;J48;6;181888;No;300;0,735294
ResNet101+DenseNet169_n_feat_ReliefF_300_RBF;ResNet101+DenseNet169_n_feat;ReliefF;RBF;6;181888;No;300;0,911765
ResNet101+DenseNet169_n_feat_ReliefF_300_LinearSVM;ResNet101+DenseNet169_n_feat;ReliefF;LinearSVM;6;181888;No;300;0,882353
ResNet101+DenseNet169_n_feat_ReliefF_300_MLP;ResNet101+DenseNet169_n_feat;ReliefF;MLP;6;181888;No;300;0,764706
ResNet101+DenseNet169_n_feat_ReliefF_300_Logistic;ResNet101+DenseNet169_n_feat;ReliefF;Logistic;6;181888;No;300;0,852941
ResNet101+DenseNet169_n_feat_ReliefF_300_RandomForest;ResNet101+DenseNet169_n_feat;ReliefF;RandomForest;6;181888;No;300;0,941176
ResNet101+DenseNet169_n_feat_ReliefF_300_Adaboost;ResNet101+DenseNet169_n_feat;ReliefF;Adaboost;6;181888;No;300;0,882353
ResNet101+DenseNet169_n_feat_ReliefF_300_Gaussian;ResNet101+DenseNet169_n_feat;ReliefF;Gaussian;6;181888;No;300;0,852941
ResNet101+DenseNet169_n_feat_ReliefF_300_J48;ResNet101+DenseNet169_n_feat;ReliefF;J48;7;181888;No;300;0,764706
ResNet101+DenseNet169_n_feat_ReliefF_300_RBF;ResNet101+DenseNet169_n_feat;ReliefF;RBF;7;181888;No;300;0,882353
ResNet101+DenseNet169_n_feat_ReliefF_300_LinearSVM;ResNet101+DenseNet169_n_feat;ReliefF;LinearSVM;7;181888;No;300;0,911765
ResNet101+DenseNet169_n_feat_ReliefF_300_MLP;ResNet101+DenseNet169_n_feat;ReliefF;MLP;7;181888;No;300;0,882353
ResNet101+DenseNet169_n_feat_ReliefF_300_Logistic;ResNet101+DenseNet169_n_feat;ReliefF;Logistic;7;181888;No;300;0,911765
ResNet101+DenseNet169_n_feat_ReliefF_300_RandomForest;ResNet101+DenseNet169_n_feat;ReliefF;RandomForest;7;181888;No;300;0,911765
ResNet101+DenseNet169_n_feat_ReliefF_300_Adaboost;ResNet101+DenseNet169_n_feat;ReliefF;Adaboost;7;181888;No;300;0,970588
ResNet101+DenseNet169_n_feat_ReliefF_300_Gaussian;ResNet101+DenseNet169_n_feat;ReliefF;Gaussian;7;181888;No;300;0,882353
ResNet101+DenseNet169_n_feat_ReliefF_300_J48;ResNet101+DenseNet169_n_feat;ReliefF;J48;8;181888;No;300;0,941176
ResNet101+DenseNet169_n_feat_ReliefF_300_RBF;ResNet101+DenseNet169_n_feat;ReliefF;RBF;8;181888;No;300;0,941176
ResNet101+DenseNet169_n_feat_ReliefF_300_LinearSVM;ResNet101+DenseNet169_n_feat;ReliefF;LinearSVM;8;181888;No;300;0,911765
ResNet101+DenseNet169_n_feat_ReliefF_300_MLP;ResNet101+DenseNet169_n_feat;ReliefF;MLP;8;181888;No;300;0,911765
ResNet101+DenseNet169_n_feat_ReliefF_300_Logistic;ResNet101+DenseNet169_n_feat;ReliefF;Logistic;8;181888;No;300;0,852941
ResNet101+DenseNet169_n_feat_ReliefF_300_RandomForest;ResNet101+DenseNet169_n_feat;ReliefF;RandomForest;8;181888;No;300;0,941176
ResNet101+DenseNet169_n_feat_ReliefF_300_Adaboost;ResNet101+DenseNet169_n_feat;ReliefF;Adaboost;8;181888;No;300;0,823529
ResNet101+DenseNet169_n_feat_ReliefF_300_Gaussian;ResNet101+DenseNet169_n_feat;ReliefF;Gaussian;8;181888;No;300;0,852941
ResNet101+DenseNet169_n_feat_ReliefF_300_J48;ResNet101+DenseNet169_n_feat;ReliefF;J48;9;181888;No;300;0,794118
ResNet101+DenseNet169_n_feat_ReliefF_300_RBF;ResNet101+DenseNet169_n_feat;ReliefF;RBF;9;181888;No;300;0,970588
ResNet101+DenseNet169_n_feat_ReliefF_300_LinearSVM;ResNet101+DenseNet169_n_feat;ReliefF;LinearSVM;9;181888;No;300;0,941176
ResNet101+DenseNet169_n_feat_ReliefF_300_MLP;ResNet101+DenseNet169_n_feat;ReliefF;MLP;9;181888;No;300;0,882353
ResNet101+DenseNet169_n_feat_ReliefF_300_Logistic;ResNet101+DenseNet169_n_feat;ReliefF;Logistic;9;181888;No;300;0,970588
ResNet101+DenseNet169_n_feat_ReliefF_300_RandomForest;ResNet101+DenseNet169_n_feat;ReliefF;RandomForest;9;181888;No;300;0,941176
ResNet101+DenseNet169_n_feat_ReliefF_300_Adaboost;ResNet101+DenseNet169_n_feat;ReliefF;Adaboost;9;181888;No;300;0,911765
ResNet101+DenseNet169_n_feat_ReliefF_300_Gaussian;ResNet101+DenseNet169_n_feat;ReliefF;Gaussian;9;181888;No;300;0,735294
ResNet101+DenseNet169_n_feat_ReliefF_300_J48;ResNet101+DenseNet169_n_feat;ReliefF;J48;10;181888;No;300;0,735294
ResNet101+DenseNet169_n_feat_ReliefF_300_RBF;ResNet101+DenseNet169_n_feat;ReliefF;RBF;10;181888;No;300;0,823529
ResNet101+DenseNet169_n_feat_ReliefF_300_LinearSVM;ResNet101+DenseNet169_n_feat;ReliefF;LinearSVM;10;181888;No;300;0,823529
ResNet101+DenseNet169_n_feat_ReliefF_300_MLP;ResNet101+DenseNet169_n_feat;ReliefF;MLP;10;181888;No;300;0,823529
ResNet101+DenseNet169_n_feat_ReliefF_300_Logistic;ResNet101+DenseNet169_n_feat;ReliefF;Logistic;10;181888;No;300;0,823529
ResNet101+DenseNet169_n_feat_ReliefF_300_RandomForest;ResNet101+DenseNet169_n_feat;ReliefF;RandomForest;10;181888;No;300;0,823529
ResNet101+DenseNet169_n_feat_ReliefF_300_Adaboost;ResNet101+DenseNet169_n_feat;ReliefF;Adaboost;10;181888;No;300;0,764706
ResNet101+DenseNet169_n_feat_ReliefF_300_Gaussian;ResNet101+DenseNet169_n_feat;ReliefF;Gaussian;10;181888;No;300;0,794118
ResNet101+DenseNet121_n_feat_ReliefF_300_J48;ResNet101+DenseNet121_n_feat;ReliefF;J48;1;150528;No;300;0,8
