FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_F1Score,KFold02_F1Score,KFold03_F1Score,KFold04_F1Score,KFold05_F1Score,KFold06_F1Score,KFold07_F1Score,KFold08_F1Score,KFold09_F1Score,KFold10_F1Score,F1Score_Mean,F1Score_SD
VGG16+VGG19_n_feat,ReliefF,No,300,LinearSVM,0.7429,0.6923,0.8108,0.8571,0.8485,0.8571,0.8235,0.9444,0.9524,0.9474,0.8476,0.0822
VGG16+VGG19_n_feat,ReliefF,No,300,MLP,0.7273,0.7742,0.7692,0.7027,0.6857,0.8235,0.8205,0.8333,0.8837,0.8837,0.7904,0.0668
VGG16+VGG19_n_feat,ReliefF,No,300,Logistic,0.7647,0.7692,0.8333,0.8837,0.8485,0.8571,0.8333,0.9444,0.9524,0.9474,0.8634,0.0653
VGG16+VGG19_n_feat,ReliefF,No,300,RandomForest,0.8235,0.8571,0.8000,0.8372,0.7647,0.8571,0.8649,0.9231,0.9767,0.8947,0.8599,0.0578
VGG16+VGG19_n_feat,ReliefF,No,300,Adaboost,0.7879,0.6452,0.8824,0.8372,0.7879,0.8235,0.7778,0.8205,0.9268,0.8500,0.8139,0.0711
VGG16+VGG19_n_feat,ReliefF,No,300,Gaussian,0.6667,0.7500,0.8387,0.4828,0.7143,0.9143,0.8000,0.8000,0.9524,0.8235,0.7743,0.1265
MobileNet+ResNet101_n_feat,ReliefF,No,250,PCC,0.7143,0.6452,0.7879,0.8421,0.7879,0.8333,0.8125,0.9231,0.8889,0.8108,0.8046,0.0759
MobileNet+ResNet101_n_feat,ReliefF,No,250,J48,0.7568,0.6250,0.7692,0.8000,0.8125,0.7179,0.7879,0.8571,0.8889,0.8718,0.7887,0.0745
MobileNet+ResNet101_n_feat,ReliefF,No,250,RBF,0.8125,0.8462,0.8824,0.9048,0.8571,0.9412,0.9444,0.8889,0.9545,0.9730,0.9005,0.0498
MobileNet+ResNet101_n_feat,ReliefF,No,250,LinearSVM,0.8485,0.8462,0.9091,0.9091,0.8235,0.8824,0.9189,0.9444,0.9767,0.8649,0.8924,0.0456
MobileNet+ResNet101_n_feat,ReliefF,No,250,MLP,0.7879,0.8276,0.8571,0.8780,0.8125,0.9143,0.8889,0.8718,0.9545,0.9000,0.8693,0.0474
MobileNet+ResNet101_n_feat,ReliefF,No,250,Logistic,0.8750,0.8462,0.9091,0.9302,0.8235,0.9091,0.9143,0.9444,0.9767,0.8649,0.8993,0.0444
MobileNet+ResNet101_n_feat,ReliefF,No,250,RandomForest,0.8387,0.7857,0.8571,0.9048,0.8571,0.9143,0.9412,0.9714,0.9545,0.9189,0.8944,0.0553
MobileNet+ResNet101_n_feat,ReliefF,No,250,Adaboost,0.8125,0.8462,0.7742,0.9302,0.8235,0.8125,0.9143,0.9412,0.8780,0.8333,0.8566,0.0537
MobileNet+ResNet101_n_feat,ReliefF,No,250,Gaussian,0.7857,0.8000,0.9032,0.8718,0.8387,0.8125,0.9091,0.8387,0.7778,0.8889,0.8426,0.0461
ResNet101+DenseNet169_n_feat,ReliefF,No,250,PCC,0.6897,0.7097,0.7429,0.8718,0.9412,0.9189,0.8824,0.8947,0.8889,0.8649,0.8405,0.0862
ResNet101+DenseNet169_n_feat,ReliefF,No,250,J48,0.6452,0.6250,0.7879,0.8095,0.7333,0.8235,0.8000,0.8571,0.8780,0.7568,0.7716,0.0794
ResNet101+DenseNet169_n_feat,ReliefF,No,250,RBF,0.7500,0.7586,0.8333,0.8500,0.8889,0.9143,0.8824,0.9412,0.9767,0.8649,0.8660,0.0688
ResNet101+DenseNet169_n_feat,ReliefF,No,250,LinearSVM,0.8000,0.7857,0.8824,0.8571,0.8421,0.8824,0.9143,0.8889,0.9524,0.8947,0.8700,0.0479
ResNet101+DenseNet169_n_feat,ReliefF,No,250,MLP,0.7222,0.7097,0.8750,0.9000,0.8333,0.8485,0.8750,0.9231,0.9091,0.8293,0.8425,0.0698
ResNet101+DenseNet169_n_feat,ReliefF,No,250,Logistic,0.7273,0.7692,0.9091,0.8500,0.8333,0.8333,0.8485,0.8571,0.9524,0.8947,0.8475,0.0617
ResNet101+DenseNet169_n_feat,ReliefF,No,250,RandomForest,0.8000,0.7586,0.8824,0.9302,0.8333,0.9143,0.9143,0.9444,0.9545,0.9189,0.8851,0.0626
ResNet101+DenseNet169_n_feat,ReliefF,No,250,Adaboost,0.8966,0.7407,0.9091,0.8837,0.8571,0.8889,0.8649,0.8750,0.8205,0.8205,0.8557,0.0475
ResNet101+DenseNet169_n_feat,ReliefF,No,250,Gaussian,0.7143,0.8462,0.8485,0.8718,0.8824,0.8824,0.9091,0.8387,0.7429,0.8333,0.8369,0.0589
ResNet101+DenseNet121_n_feat,ReliefF,No,250,PCC,0.7333,0.7333,0.7500,0.8718,0.8889,0.8571,0.8485,0.8889,0.8444,0.8649,0.8281,0.0602
ResNet101+DenseNet121_n_feat,ReliefF,No,250,J48,0.8108,0.7200,0.7879,0.7727,0.6857,0.7692,0.8000,0.8205,0.8889,0.8108,0.7867,0.0530
ResNet101+DenseNet121_n_feat,ReliefF,No,250,RBF,0.7500,0.7586,0.8333,0.8780,0.8889,0.8824,0.9143,0.8333,0.9130,0.8947,0.8547,0.0567
ResNet101+DenseNet121_n_feat,ReliefF,No,250,LinearSVM,0.8235,0.7407,0.9412,0.8636,0.8649,0.8824,0.8889,0.8235,0.9302,0.8649,0.8624,0.0545
ResNet101+DenseNet121_n_feat,ReliefF,No,250,MLP,0.7059,0.7097,0.8571,0.8636,0.7879,0.7879,0.9444,0.8718,0.9091,0.7805,0.8218,0.0763
