FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_ROCScore,KFold02_ROCScore,KFold03_ROCScore,KFold04_ROCScore,KFold05_ROCScore,KFold06_ROCScore,KFold07_ROCScore,KFold08_ROCScore,KFold09_ROCScore,KFold10_ROCScore,ROCScore_Mean,ROCScore_SD
MobileNet+ResNet50_n_feat,ReliefF,No,250,Logistic,0.8583,0.9348,0.9118,0.8321,0.7941,0.9722,0.8824,0.9722,0.8902,0.9474,0.8995,0.0566
MobileNet+ResNet50_n_feat,ReliefF,No,250,RandomForest,0.9083,0.9348,0.9118,0.8929,0.8529,0.9132,0.8824,0.9410,0.9545,0.9667,0.9158,0.0328
MobileNet+ResNet50_n_feat,ReliefF,No,250,Adaboost,0.8750,0.9130,0.9118,0.7714,0.7941,0.8854,0.8824,0.9410,0.9545,0.9140,0.8843,0.0562
MobileNet+ResNet50_n_feat,ReliefF,No,250,Gaussian,0.8750,0.8732,0.9412,0.8536,0.7941,0.8299,0.8235,0.8889,0.9545,0.8877,0.8722,0.0476
Xception+ResNet50_n_feat,ReliefF,No,250,PCC,0.7833,0.8732,0.7353,0.6964,0.7647,0.8299,0.7647,0.8785,0.8258,0.8281,0.7980,0.0561
Xception+ResNet50_n_feat,ReliefF,No,250,J48,0.7417,0.8496,0.8529,0.6964,0.7353,0.8576,0.7941,0.9410,0.7652,0.8877,0.8122,0.0737
Xception+ResNet50_n_feat,ReliefF,No,250,RBF,0.8083,0.8913,0.8824,0.8071,0.8529,0.8854,0.8529,0.9722,0.8295,0.8737,0.8656,0.0459
Xception+ResNet50_n_feat,ReliefF,No,250,LinearSVM,0.8667,0.8696,0.9118,0.9036,0.9412,0.8819,0.9412,1.0000,0.8939,0.9404,0.9150,0.0391
Xception+ResNet50_n_feat,ReliefF,No,250,MLP,0.8417,0.8696,0.9118,0.7250,0.8824,0.8819,0.7647,0.9444,0.8750,0.8807,0.8577,0.0626
Xception+ResNet50_n_feat,ReliefF,No,250,Logistic,0.8667,0.8478,0.9118,0.9036,0.8824,0.7951,0.8824,0.9410,0.8295,0.8877,0.8748,0.0401
Xception+ResNet50_n_feat,ReliefF,No,250,RandomForest,0.8917,0.8931,0.8824,0.8321,0.9412,0.9410,0.8824,0.9410,0.9356,0.9333,0.9074,0.0350
Xception+ResNet50_n_feat,ReliefF,No,250,Adaboost,0.9500,0.8913,0.7941,0.7357,0.8529,0.8819,0.8235,0.9722,0.8258,0.9070,0.8635,0.0683
Xception+ResNet50_n_feat,ReliefF,No,250,Gaussian,0.9083,0.8714,0.8824,0.7571,0.7941,0.8576,0.7941,0.8611,0.8447,0.8544,0.8425,0.0441
VGG16+VGG19_n_feat,ReliefF,No,250,PCC,0.6500,0.5978,0.6176,0.6679,0.7647,0.5938,0.5882,0.7049,0.7614,0.7754,0.6722,0.0710
VGG16+VGG19_n_feat,ReliefF,No,250,J48,0.8250,0.6793,0.6765,0.8286,0.7353,0.6562,0.7353,0.7569,0.8485,0.7088,0.7450,0.0653
VGG16+VGG19_n_feat,ReliefF,No,250,RBF,0.8083,0.9130,0.8529,0.7464,0.8235,0.9132,0.9118,0.9132,0.9545,0.8737,0.8711,0.0600
VGG16+VGG19_n_feat,ReliefF,No,250,LinearSVM,0.7500,0.7663,0.8824,0.8071,0.7941,0.8854,0.8235,0.8542,0.8902,0.8544,0.8308,0.0479
VGG16+VGG19_n_feat,ReliefF,No,250,MLP,0.7750,0.8062,0.7353,0.7571,0.7059,0.8507,0.7941,0.8472,0.7879,0.7070,0.7766,0.0487
VGG16+VGG19_n_feat,ReliefF,No,250,Logistic,0.7750,0.7880,0.8824,0.7964,0.8235,0.8542,0.7941,0.9132,0.9545,0.9140,0.8495,0.0602
VGG16+VGG19_n_feat,ReliefF,No,250,RandomForest,0.8083,0.8696,0.8235,0.8071,0.7941,0.8576,0.8529,0.8785,0.9773,0.9140,0.8583,0.0532
VGG16+VGG19_n_feat,ReliefF,No,250,Adaboost,0.8583,0.8279,0.8824,0.8071,0.7941,0.7917,0.7647,0.8785,0.9091,0.8281,0.8342,0.0442
VGG16+VGG19_n_feat,ReliefF,No,250,Gaussian,0.7083,0.8315,0.8529,0.8036,0.7059,0.9132,0.8235,0.8889,0.9129,0.8281,0.8269,0.0697
