FeatureExtraction;DimReduction;Normalization;NumberComponents;Classifier;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy;Accuracy_Mean;Accuracy_SD
EfficientNetB0+MobileNet;ReliefF;No;20;Adaboost;0,8571;0,8857;0,8235;0,8529;0,7647;0,7647;0,7941;0,7941;0,8824;0,7941;0,8213;0,0433
EfficientNetB0+MobileNet;ReliefF;No;20;Gaussian;0,7429;0,8571;0,8824;0,7353;0,7941;0,7941;0,8529;0,7941;0,9412;0,8529;0,8247;0,0609
MobileNet+ResNet50;ReliefF;No;20;J48;0,7714;0,8571;0,7059;0,8235;0,8824;0,8824;0,7647;0,8824;0,8529;0,7647;0,8187;0,0597
MobileNet+ResNet50;ReliefF;No;20;RBF;0,9143;0,8286;0,8824;0,8529;0,8529;0,8824;0,8235;0,9412;0,8824;0,9412;0,8802;0,04
MobileNet+ResNet50;ReliefF;No;20;LinearSVM;0,8286;0,8571;0,8529;0,9118;0,8529;0,8529;0,7941;0,9118;0,8529;0,8235;0,8539;0,0344
MobileNet+ResNet50;ReliefF;No;20;MLP;0,8571;0,8286;0,8235;0,8529;0,8235;0,8235;0,7647;0,9412;0,9118;0,8529;0,848;0,0469
MobileNet+ResNet50;ReliefF;No;20;Logistic;0,7714;0,8571;0,9118;0,8529;0,8235;0,8529;0,7941;0,9706;0,8235;0,8235;0,8482;0,0546
MobileNet+ResNet50;ReliefF;No;20;RandomForest;0,7714;0,8857;0,8235;0,9118;0,8824;0,8824;0,8235;0,9412;0,9412;0,8824;0,8745;0,0514
MobileNet+ResNet50;ReliefF;No;20;Adaboost;0,8857;0,9429;0,8235;0,7647;0,7941;0,7941;0,7941;0,8529;0,7647;0,8235;0,824;0,0534
MobileNet+ResNet50;ReliefF;No;20;Gaussian;0,8571;0,8857;0,9118;0,8824;0,8235;0,8529;0,8235;0,9412;0,7647;0,8235;0,8566;0,0484
MobileNet+ResNet101;ReliefF;No;10;J48;0,7143;0,7143;0,7059;0,7353;0,7941;0,7647;0,7941;0,7353;0,7647;0,7647;0,7487;0,0307
